VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_TEXCOORD0.x, in_TEXCOORD0.y
150, 31, -0.04318, -0.00444, -0.11074,  0.90053,  0.03653
151, 39, -0.04125,  0.00689, -0.10017,  0.92346,  0.02476
152, 35, -0.05163,  0.00162, -0.0969,  0.92888,  0.0429
153, 38, -0.10868, -0.03089, -0.13185,  0.90403,  0.15293
154, 40, -0.08627, -0.04314, -0.15997,  0.84796,  0.14471
155, 36, -0.08533, -0.02779, -0.123,  0.89767,  0.11456
156, 36, -0.08533, -0.02779, -0.123,  0.89767,  0.11456
157, 40, -0.08627, -0.04314, -0.15997,  0.84796,  0.14471
158, 41, -0.06861, -0.0369, -0.15133,  0.84739,  0.11658
159, 42, -0.05493, -0.02734, -0.13887,  0.85669,  0.08361
160, 33, -0.06368, -0.02328, -0.11631,  0.89374,  0.07998
161, 36, -0.08533, -0.02779, -0.123,  0.89767,  0.11456
162, 36, -0.08533, -0.02779, -0.123,  0.89767,  0.11456
163, 41, -0.06861, -0.0369, -0.15133,  0.84739,  0.11658
164, 42, -0.05493, -0.02734, -0.13887,  0.85669,  0.08361
165, 42, -0.05493, -0.02734, -0.13887,  0.85669,  0.08361
166, 30, -0.04719, -0.01493, -0.12221,  0.87927,  0.05668
167, 33, -0.06368, -0.02328, -0.11631,  0.89374,  0.07998
168, 38, -0.10868, -0.03089, -0.13185,  0.90403,  0.15293
169, 37, -0.09585, -0.01244, -0.11032,  0.92824,  0.11738
170, 43, -0.12739, -0.00133, -0.12403,  0.95745,  0.15189
171, 38, -0.10868, -0.03089, -0.13185,  0.90403,  0.15293
172, 43, -0.12739, -0.00133, -0.12403,  0.95745,  0.15189
173, 44, -0.13474, -0.01343, -0.13885,  0.93915,  0.19082
174, 44, -0.13474, -0.01343, -0.13885,  0.93915,  0.19082
175, 45, -0.1341, -0.02261, -0.14835,  0.91743,  0.19776
176, 38, -0.10868, -0.03089, -0.13185,  0.90403,  0.15293
177, 38, -0.10868, -0.03089, -0.13185,  0.90403,  0.15293
178, 45, -0.1341, -0.02261, -0.14835,  0.91743,  0.19776
179, 46, -0.13013, -0.03195, -0.15635,  0.89632,  0.19904
180, 47, -0.11998, -0.03985, -0.16056,  0.87716,  0.18913
181, 38, -0.10868, -0.03089, -0.13185,  0.90403,  0.15293
182, 46, -0.13013, -0.03195, -0.15635,  0.89632,  0.19904
183, 38, -0.10868, -0.03089, -0.13185,  0.90403,  0.15293
184, 47, -0.11998, -0.03985, -0.16056,  0.87716,  0.18913
185, 48, -0.10154, -0.04388, -0.16252,  0.85679,  0.1697
186, 38, -0.10868, -0.03089, -0.13185,  0.90403,  0.15293
187, 48, -0.10154, -0.04388, -0.16252,  0.85679,  0.1697
188, 40, -0.08627, -0.04314, -0.15997,  0.84796,  0.14471
189, 49, -0.08908, -0.03662,  0.16467,  0.81295,  0.11566
190, 50, -0.10216, -0.02136,  0.15054,  0.77867,  0.12092
191, 51, -0.10311, -0.03691,  0.16727,  0.80825,  0.13441
192, 52, -0.08172, -0.01496,  0.13832,  0.77234,  0.08722
193, 50, -0.10216, -0.02136,  0.15054,  0.77867,  0.12092
194, 49, -0.08908, -0.03662,  0.16467,  0.81295,  0.11566
195, 49, -0.08908, -0.03662,  0.16467,  0.81295,  0.11566
196, 53, -0.07076, -0.02962,  0.1555,  0.80805,  0.08611
197, 52, -0.08172, -0.01496,  0.13832,  0.77234,  0.08722
198, 54, -0.05798, -0.01838,  0.14238,  0.79327,  0.06032
199, 52, -0.08172, -0.01496,  0.13832,  0.77234,  0.08722
200, 53, -0.07076, -0.02962,  0.1555,  0.80805,  0.08611
201, 52, -0.08172, -0.01496,  0.13832,  0.77234,  0.08722
202, 54, -0.05798, -0.01838,  0.14238,  0.79327,  0.06032
203, 55, -0.06353, -0.0085,  0.12665,  0.76621,  0.05627
204, 56, -0.06626,  0.00725,  0.11368,  0.73792,  0.04653
205, 52, -0.08172, -0.01496,  0.13832,  0.77234,  0.08722
206, 55, -0.06353, -0.0085,  0.12665,  0.76621,  0.05627
207, 57, -0.08937,  0.0036,  0.12002,  0.73352,  0.08348
208, 52, -0.08172, -0.01496,  0.13832,  0.77234,  0.08722
209, 56, -0.06626,  0.00725,  0.11368,  0.73792,  0.04653
210, 50, -0.10216, -0.02136,  0.15054,  0.77867,  0.12092
211, 52, -0.08172, -0.01496,  0.13832,  0.77234,  0.08722
212, 57, -0.08937,  0.0036,  0.12002,  0.73352,  0.08348
213, 58, -0.11253, -0.00822,  0.13743,  0.74925,  0.12584
214, 50, -0.10216, -0.02136,  0.15054,  0.77867,  0.12092
215, 57, -0.08937,  0.0036,  0.12002,  0.73352,  0.08348
216, 58, -0.11253, -0.00822,  0.13743,  0.74925,  0.12584
217, 57, -0.08937,  0.0036,  0.12002,  0.73352,  0.08348
218, 59, -0.12318,  0.00354,  0.1276,  0.72398,  0.13438
219, 59, -0.12318,  0.00354,  0.1276,  0.72398,  0.13438
220, 60, -0.13028, -0.00858,  0.14312,  0.7478,  0.15251
221, 58, -0.11253, -0.00822,  0.13743,  0.74925,  0.12584
222, 49, -0.08908, -0.03662,  0.16467,  0.81295,  0.11566
223, 61, -0.06861, -0.0369,  0.15133,  0.81909,  0.08141
224, 53, -0.07076, -0.02962,  0.1555,  0.80805,  0.08611
225, 49, -0.08908, -0.03662,  0.16467,  0.81295,  0.11566
226, 62, -0.08627, -0.04314,  0.15997,  0.82427,  0.11189
227, 61, -0.06861, -0.0369,  0.15133,  0.81909,  0.08141
228, 60, -0.13028, -0.00858,  0.14312,  0.7478,  0.15251
229, 63, -0.13047, -0.01813,  0.15477,  0.76717,  0.1589
230, 58, -0.11253, -0.00822,  0.13743,  0.74925,  0.12584
231, 50, -0.10216, -0.02136,  0.15054,  0.77867,  0.12092
232, 58, -0.11253, -0.00822,  0.13743,  0.74925,  0.12584
233, 63, -0.13047, -0.01813,  0.15477,  0.76717,  0.1589
234, 64, -0.1341, -0.02261,  0.14835,  0.76303,  0.1699
235, 63, -0.13047, -0.01813,  0.15477,  0.76717,  0.1589
236, 60, -0.13028, -0.00858,  0.14312,  0.7478,  0.15251
237, 65, -0.13013, -0.03195,  0.15635,  0.78416,  0.17064
238, 63, -0.13047, -0.01813,  0.15477,  0.76717,  0.1589
239, 64, -0.1341, -0.02261,  0.14835,  0.76303,  0.1699
240, 65, -0.13013, -0.03195,  0.15635,  0.78416,  0.17064
241, 66, -0.12574, -0.02733,  0.16299,  0.78473,  0.15809
242, 63, -0.13047, -0.01813,  0.15477,  0.76717,  0.1589
243, 67, -0.11861, -0.03268,  0.1662,  0.79553,  0.15185
244, 66, -0.12574, -0.02733,  0.16299,  0.78473,  0.15809
245, 65, -0.13013, -0.03195,  0.15635,  0.78416,  0.17064
246, 68, -0.11998, -0.03985,  0.16056,  0.80473,  0.16136
247, 67, -0.11861, -0.03268,  0.1662,  0.79553,  0.15185
248, 65, -0.13013, -0.03195,  0.15635,  0.78416,  0.17064
249, 51, -0.10311, -0.03691,  0.16727,  0.80825,  0.13441
250, 67, -0.11861, -0.03268,  0.1662,  0.79553,  0.15185
251, 68, -0.11998, -0.03985,  0.16056,  0.80473,  0.16136
252, 68, -0.11998, -0.03985,  0.16056,  0.80473,  0.16136
253, 69, -0.10154, -0.04388,  0.16251,  0.82017,  0.13593
254, 51, -0.10311, -0.03691,  0.16727,  0.80825,  0.13441
255, 64, -0.1341, -0.02261,  0.14835,  0.76303,  0.1699
256, 60, -0.13028, -0.00858,  0.14312,  0.7478,  0.15251
257, 70, -0.13474, -0.01343,  0.13885,  0.74392,  0.16282
258, 70, -0.13474, -0.01343,  0.13885,  0.74392,  0.16282
259, 60, -0.13028, -0.00858,  0.14312,  0.7478,  0.15251
260, 59, -0.12318,  0.00354,  0.1276,  0.72398,  0.13438
261, 50, -0.10216, -0.02136,  0.15054,  0.77867,  0.12092
262, 66, -0.12574, -0.02733,  0.16299,  0.78473,  0.15809
263, 67, -0.11861, -0.03268,  0.1662,  0.79553,  0.15185
264, 63, -0.13047, -0.01813,  0.15477,  0.76717,  0.1589
265, 66, -0.12574, -0.02733,  0.16299,  0.78473,  0.15809
266, 50, -0.10216, -0.02136,  0.15054,  0.77867,  0.12092
267, 50, -0.10216, -0.02136,  0.15054,  0.77867,  0.12092
268, 67, -0.11861, -0.03268,  0.1662,  0.79553,  0.15185
269, 51, -0.10311, -0.03691,  0.16727,  0.80825,  0.13441
270, 49, -0.08908, -0.03662,  0.16467,  0.81295,  0.11566
271, 51, -0.10311, -0.03691,  0.16727,  0.80825,  0.13441
272, 69, -0.10154, -0.04388,  0.16251,  0.82017,  0.13593
273, 69, -0.10154, -0.04388,  0.16251,  0.82017,  0.13593
274, 62, -0.08627, -0.04314,  0.15997,  0.82427,  0.11189
275, 49, -0.08908, -0.03662,  0.16467,  0.81295,  0.11566
276, 59, -0.12318,  0.00354,  0.1276,  0.72398,  0.13438
277, 71, -0.12739, -0.00133,  0.12402,  0.71995,  0.14446
278, 70, -0.13474, -0.01343,  0.13885,  0.74392,  0.16282
279, 72, -0.05493, -0.02734,  0.13887,  0.80589,  0.05357
280, 53, -0.07076, -0.02962,  0.1555,  0.80805,  0.08611
281, 61, -0.06861, -0.0369,  0.15133,  0.81909,  0.08141
282, 53, -0.07076, -0.02962,  0.1555,  0.80805,  0.08611
283, 72, -0.05493, -0.02734,  0.13887,  0.80589,  0.05357
284, 54, -0.05798, -0.01838,  0.14238,  0.79327,  0.06032
285, 73, -0.04719, -0.01493,  0.12221,  0.7844,  0.02917
286, 54, -0.05798, -0.01838,  0.14238,  0.79327,  0.06032
287, 72, -0.05493, -0.02734,  0.13887,  0.80589,  0.05357
288, 54, -0.05798, -0.01838,  0.14238,  0.79327,  0.06032
289, 73, -0.04719, -0.01493,  0.12221,  0.7844,  0.02917
290, 74, -0.05127, -0.00608,  0.12723,  0.77299,  0.03994
291, 74, -0.05127, -0.00608,  0.12723,  0.77299,  0.03994
292, 73, -0.04719, -0.01493,  0.12221,  0.7844,  0.02917
293, 75, -0.04318, -0.00445,  0.11074,  0.76605,  0.0151
294, 75, -0.04318, -0.00445,  0.11074,  0.76605,  0.0151
295, 76, -0.04697,  0.00232,  0.11601,  0.75794,  0.0257
296, 74, -0.05127, -0.00608,  0.12723,  0.77299,  0.03994
297, 55, -0.06353, -0.0085,  0.12665,  0.76621,  0.05627
298, 74, -0.05127, -0.00608,  0.12723,  0.77299,  0.03994
299, 76, -0.04697,  0.00232,  0.11601,  0.75794,  0.0257
300, 55, -0.06353, -0.0085,  0.12665,  0.76621,  0.05627
301, 54, -0.05798, -0.01838,  0.14238,  0.79327,  0.06032
302, 74, -0.05127, -0.00608,  0.12723,  0.77299,  0.03994
303, 76, -0.04697,  0.00232,  0.11601,  0.75794,  0.0257
304, 75, -0.04318, -0.00445,  0.11074,  0.76605,  0.0151
305, 77, -0.04125,  0.00689,  0.10017,  0.74727,  0.00341
306, 77, -0.04125,  0.00689,  0.10017,  0.74727,  0.00341
307, 78, -0.04629,  0.01268,  0.10416,  0.73962,  0.01299
308, 76, -0.04697,  0.00232,  0.11601,  0.75794,  0.0257
309, 76, -0.04697,  0.00232,  0.11601,  0.75794,  0.0257
310, 78, -0.04629,  0.01268,  0.10416,  0.73962,  0.01299
311, 56, -0.06626,  0.00725,  0.11368,  0.73792,  0.04653
312, 55, -0.06353, -0.0085,  0.12665,  0.76621,  0.05627
313, 76, -0.04697,  0.00232,  0.11601,  0.75794,  0.0257
314, 56, -0.06626,  0.00725,  0.11368,  0.73792,  0.04653
315, 79, -0.04719, -0.01493,  0.12221,  0.87927,  0.05668
316, 80, -0.05082, -0.00829,  0.11175,  0.90096,  0.05257
317, 81, -0.04318, -0.00445,  0.11074,  0.90053,  0.03653
318, 80, -0.05082, -0.00829,  0.11175,  0.90096,  0.05257
319, 79, -0.04719, -0.01493,  0.12221,  0.87927,  0.05668
320, 82, -0.06368, -0.02328,  0.11631,  0.89374,  0.07998
321, 80, -0.05082, -0.00829,  0.11175,  0.90096,  0.05257
322, 82, -0.06368, -0.02328,  0.11631,  0.89374,  0.07998
323, 83, -0.06762, -0.00903,  0.10262,  0.92208,  0.07498
324, 84, -0.05163,  0.00162,  0.0969,  0.92888,  0.0429
325, 80, -0.05082, -0.00829,  0.11175,  0.90096,  0.05257
326, 83, -0.06762, -0.00903,  0.10262,  0.92208,  0.07498
327, 80, -0.05082, -0.00829,  0.11175,  0.90096,  0.05257
328, 84, -0.05163,  0.00162,  0.0969,  0.92888,  0.0429
329, 81, -0.04318, -0.00445,  0.11074,  0.90053,  0.03653
330, 83, -0.06762, -0.00903,  0.10262,  0.92208,  0.07498
331, 82, -0.06368, -0.02328,  0.11631,  0.89374,  0.07998
332, 85, -0.08533, -0.02779,  0.12299,  0.89767,  0.11456
333, 85, -0.08533, -0.02779,  0.12299,  0.89767,  0.11456
334, 86, -0.09585, -0.01244,  0.11032,  0.92824,  0.11738
335, 83, -0.06762, -0.00903,  0.10262,  0.92208,  0.07498
336, 87, -0.10868, -0.0309,  0.13185,  0.90403,  0.15293
337, 86, -0.09585, -0.01244,  0.11032,  0.92824,  0.11738
338, 85, -0.08533, -0.02779,  0.12299,  0.89767,  0.11456
339, 81, -0.04318, -0.00445,  0.11074,  0.90053,  0.03653
340, 84, -0.05163,  0.00162,  0.0969,  0.92888,  0.0429
341, 88, -0.04125,  0.00689,  0.10017,  0.92346,  0.02476
342, 87, -0.10868, -0.0309,  0.13185,  0.90403,  0.15293
343, 85, -0.08533, -0.02779,  0.12299,  0.89767,  0.11456
344, 89, -0.08627, -0.04314,  0.15997,  0.84796,  0.14471
345, 85, -0.08533, -0.02779,  0.12299,  0.89767,  0.11456
346, 90, -0.06861, -0.0369,  0.15133,  0.84739,  0.11658
347, 89, -0.08627, -0.04314,  0.15997,  0.84796,  0.14471
348, 82, -0.06368, -0.02328,  0.11631,  0.89374,  0.07998
349, 91, -0.05493, -0.02734,  0.13887,  0.85669,  0.08361
350, 85, -0.08533, -0.02779,  0.12299,  0.89767,  0.11456
351, 85, -0.08533, -0.02779,  0.12299,  0.89767,  0.11456
352, 91, -0.05493, -0.02734,  0.13887,  0.85669,  0.08361
353, 90, -0.06861, -0.0369,  0.15133,  0.84739,  0.11658
354, 82, -0.06368, -0.02328,  0.11631,  0.89374,  0.07998
355, 79, -0.04719, -0.01493,  0.12221,  0.87927,  0.05668
356, 91, -0.05493, -0.02734,  0.13887,  0.85669,  0.08361
357, 87, -0.10868, -0.0309,  0.13185,  0.90403,  0.15293
358, 92, -0.12739, -0.00133,  0.12402,  0.95745,  0.15189
359, 86, -0.09585, -0.01244,  0.11032,  0.92824,  0.11738
360, 87, -0.10868, -0.0309,  0.13185,  0.90403,  0.15293
361, 93, -0.13474, -0.01343,  0.13885,  0.93915,  0.19082
362, 92, -0.12739, -0.00133,  0.12402,  0.95745,  0.15189
363, 93, -0.13474, -0.01343,  0.13885,  0.93915,  0.19082
364, 87, -0.10868, -0.0309,  0.13185,  0.90403,  0.15293
365, 94, -0.1341, -0.02261,  0.14835,  0.91743,  0.19776
366, 87, -0.10868, -0.0309,  0.13185,  0.90403,  0.15293
367, 95, -0.13013, -0.03195,  0.15635,  0.89632,  0.19904
368, 94, -0.1341, -0.02261,  0.14835,  0.91743,  0.19776
369, 96, -0.11998, -0.03985,  0.16056,  0.87716,  0.18913
370, 95, -0.13013, -0.03195,  0.15635,  0.89632,  0.19904
371, 87, -0.10868, -0.0309,  0.13185,  0.90403,  0.15293
372, 87, -0.10868, -0.0309,  0.13185,  0.90403,  0.15293
373, 97, -0.10154, -0.04388,  0.16251,  0.85679,  0.1697
374, 96, -0.11998, -0.03985,  0.16056,  0.87716,  0.18913
375, 87, -0.10868, -0.0309,  0.13185,  0.90403,  0.15293
376, 89, -0.08627, -0.04314,  0.15997,  0.84796,  0.14471
377, 97, -0.10154, -0.04388,  0.16251,  0.85679,  0.1697
378, 98, -0.14887,  0.10645,  0.09961,  0.73836,  0.64968
379, 99, -0.1712,  0.10648,  0.10204,  0.74409,  0.70007
380, 100, -0.16955,  0.08681,  0.11927,  0.80337,  0.69396
381, 100, -0.16955,  0.08681,  0.11927,  0.80337,  0.69396
382, 101, -0.14724,  0.08762,  0.11585,  0.79515,  0.64264
383, 98, -0.14887,  0.10645,  0.09961,  0.73836,  0.64968
384, 102, -0.13091,  0.10444,  0.09633,  0.73417,  0.60837
385, 98, -0.14887,  0.10645,  0.09961,  0.73836,  0.64968
386, 101, -0.14724,  0.08762,  0.11585,  0.79515,  0.64264
387, 101, -0.14724,  0.08762,  0.11585,  0.79515,  0.64264
388, 103, -0.12867,  0.08812,  0.10953,  0.78334,  0.59919
389, 102, -0.13091,  0.10444,  0.09633,  0.73417,  0.60837
390, 99, -0.1712,  0.10648,  0.10204,  0.74409,  0.70007
391, 98, -0.14887,  0.10645,  0.09961,  0.73836,  0.64968
392, 104, -0.17301,  0.12044,  0.08252,  0.68982,  0.70582
393, 104, -0.17301,  0.12044,  0.08252,  0.68982,  0.70582
394, 98, -0.14887,  0.10645,  0.09961,  0.73836,  0.64968
395, 105, -0.15041,  0.11865,  0.08077,  0.68669,  0.65512
